Devices
1000
,,Generic Analog #2 - Electric Potential,
Frame,Sub Frame,1
,,V
1,0,0.0063324
1,1,0.00270844
1,2,0.0044632
1,3,-0.00385284
1,4,0.000190735
1,5,0.000534058
1,6,0.00202179
1,7,-0.00377655
1,8,0.0019455
1,9,0.00289917
2,0,0.00514984
2,1,0.000495911
2,2,0.000801086
2,3,0
2,4,0.00209808
2,5,-0.000915527
2,6,0.00164032
2,7,0.000419617
2,8,0.00537872
2,9,-0.0031662
3,0,0.00164032
3,1,0.000801086
3,2,0.00228882
3,3,-0.000419617
3,4,0.00259399
3,5,0.00278473
3,6,0.00160217
3,7,-0.00270844
3,8,0.000305176
3,9,0.00259399
4,0,-0.00156403
4,1,-3.8147e-05
4,2,0.00289917
4,3,0.00923157
4,4,0.00705719
4,5,0.00461578
4,6,0.000991821
4,7,0.00431061
4,8,-0.000114441
4,9,0.00286102
5,0,0.00164032
5,1,0.00427246
5,2,-0.000419617
5,3,-7.62939e-05
5,4,-0.00148773
5,5,0.00202179
5,6,0.000114441
5,7,0.00259399
5,8,0.00659943
5,9,0.000915527
6,0,-0.00549316
6,1,-0.00358582
6,2,0.000724792
6,3,0.00526428
6,4,-0.00133514
6,5,0.000152588
6,6,0.00576019
6,7,0.00778198
6,8,0.00289917
6,9,-0.00160217
7,0,-0.000762939
7,1,0.00728607
7,2,0.00335693
7,3,0.000152588
7,4,-0.00282288
7,5,0.0044632
7,6,-0.00114441
7,7,0.00114441
7,8,0.000419617
7,9,0.00297546
8,0,0.0037384
8,1,0.0056076
8,2,0.00473022
8,3,0.0056076
8,4,-0.000724792
8,5,-0.000572205
8,6,0.000953674
8,7,0.00366211
8,8,0.00450134
8,9,0.00282288
9,0,0.00141144
9,1,0.00556946
9,2,0.00213623
9,3,-0.00205994
9,4,0.000762939
9,5,0.00419617
9,6,0.00514984
9,7,0.0031662
9,8,0.00152588
9,9,0.00297546
10,0,0.00152588
10,1,0.000457764
10,2,0.00259399
10,3,0.00518799
